IssueID,Timestamp,Number,Size,Color
202509240616,2025-09-24 08:16:00,3,Small,Green
202509240615,2025-09-24 08:15:00,5,Big,Green-purple
202509240614,2025-09-24 08:14:00,2,Small,Red
202509240613,2025-09-24 08:13:00,5,Big,Green-purple
202509240612,2025-09-24 08:12:00,2,Small,Red
202509240611,2025-09-24 08:11:00,0,Small,Red-purple
202509240610,2025-09-24 08:10:00,9,Big,Green
202509240609,2025-09-24 08:09:00,5,Big,Green-purple
202509240608,2025-09-24 08:08:00,2,Small,Red
202509240607,2025-09-24 08:07:00,7,Big,Green
202509240606,2025-09-24 08:06:00,2,Small,Red
202509240605,2025-09-24 08:05:00,3,Small,Green
202509240604,2025-09-24 08:04:00,2,Small,Red
202509240603,2025-09-24 08:03:00,0,Small,Red-purple
202509240602,2025-09-24 08:02:00,6,Big,Red
202509240601,2025-09-24 08:01:00,8,Big,Red
202509240600,2025-09-24 08:00:00,4,Small,Red
202509240599,2025-09-24 07:59:00,5,Big,Green-purple
202509240598,2025-09-24 07:58:00,2,Small,Red
202509240597,2025-09-24 07:57:00,9,Big,Green
202509240596,2025-09-24 07:56:00,3,Small,Green
202509240595,2025-09-24 07:55:00,9,Big,Green
202509240594,2025-09-24 07:54:00,6,Big,Red
202509240593,2025-09-24 07:53:00,9,Big,Green
202509240592,2025-09-24 07:52:00,2,Small,Red
202509240591,2025-09-24 07:51:00,9,Big,Green
202509240590,2025-09-24 07:50:00,7,Big,Green
202509240589,2025-09-24 07:49:00,1,Small,Green
202509240588,2025-09-24 07:48:00,6,Big,Red
202509240587,2025-09-24 07:47:00,0,Small,Red-purple
202509240586,2025-09-24 07:46:00,1,Small,Green
202509240585,2025-09-24 07:45:00,3,Small,Green
202509240584,2025-09-24 07:44:00,6,Big,Red
